total_price,total_freight,total_items,unique_products,unique_sellers,order_month,order_day_of_week,order_hour,estimated_delivery_days,total_payment_value,max_payment_installments,payment_types_count,average_item_price,freight_ratio,items_per_seller,seller_diversity,is_weekend,is_business_hour,is_year_end,month_sin,month_cos,hour_sin,hour_cos,log_total_price,log_total_freight,items_x_price,is_late_delivery
37.1,32.56,1,1,1,12,4,3,33,216.15,1,1,37.1,0.8776280323450135,1.0,1.0,0,0,1,-2.4492935982947064e-16,1.0,0.7071067811865476,0.7071067811865476,3.6402142821326553,3.5133348815990053,37.1,0
82.51,13.54,1,1,1,3,3,3,42,200.58,2,1,82.51,0.16410132105199368,1.0,1.0,0,0,0,1.0,6.123233995736766e-17,0.7071067811865476,0.7071067811865476,4.424966385165138,2.6769034721053733,82.51,0
30.33,15.42,1,1,1,12,4,13,41,55.12,3,1,30.33,0.5084075173095944,1.0,1.0,0,1,1,-2.4492935982947064e-16,1.0,-0.2588190451025208,-0.9659258262890683,3.4445761049641,2.7985001040242823,30.33,0
136.67,67.61,2,2,2,4,3,13,39,508.15,12,2,68.335,0.4946952513353333,1.0,1.0,0,1,0,0.8660254037844387,-0.4999999999999998,-0.2588190451025208,-0.9659258262890683,4.924859517074852,4.2284382967028,273.34,0
68.14,52.84,2,2,2,2,6,19,34,124.69,1,1,34.07,0.7754622835339008,1.0,1.0,1,0,0,0.8660254037844386,0.5000000000000001,-0.9659258262890684,0.2588190451025203,4.236133434493478,3.9860166853364722,136.28,0
27.36,45.28,1,1,1,1,5,23,40,74.46,3,1,27.36,1.6549707602339183,1.0,1.0,1,0,0,0.49999999999999994,0.8660254037844387,-0.25881904510252157,0.9659258262890681,3.344979701663927,3.834709902325476,27.36,0
11.18,30.99,1,1,1,12,5,22,44,48.92,3,1,11.18,2.7719141323792487,1.0,1.0,1,0,1,-2.4492935982947064e-16,1.0,-0.5000000000000004,0.8660254037844384,2.4997952622817508,3.4654233539614268,11.18,0
138.08,32.06,1,1,1,3,2,1,42,225.3,6,1,138.08,0.23218424101969873,1.0,1.0,0,0,0,1.0,6.123233995736766e-17,0.25881904510252074,0.9659258262890683,4.935049307139661,3.498324092392878,138.08,0
26.27,5.13,1,1,1,12,6,4,29,129.13,3,1,26.27,0.1952797868290826,1.0,1.0,1,0,1,-2.4492935982947064e-16,1.0,0.8660254037844386,0.5000000000000001,3.305787196857497,1.81319474994812,26.27,0
324.41,177.8,5,5,5,6,4,16,39,245.22,1,1,64.882,0.5480718843438858,1.0,1.0,0,1,0,1.2246467991473532e-16,-1.0,-0.8660254037844385,-0.5000000000000004,5.785085925720236,5.186267862739414,1622.0500000000002,0
